Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79t0exFoQU0jlcpBLJrqes,"Do It","Tuxedo","Tuxedo",2015-03-03,258502,51,false,1241482721,2023-04-13T19:58:45Z,"nu disco,funk,indie soul","Stones Throw Records",0.818,0.858,1,-4.219,0,0.0398,0.0638,0.245,0.256,0.753,119.609,4
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237893,75,true,1241482721,2023-04-13T19:58:58Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
spotify:track:39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,80,false,1241482721,2023-04-13T19:59:05Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
spotify:track:57QPgMBLy5LeXryylkyh9X,"애정결핍","어서오세요 여름밤","Herz Analog",2014-06-26,290296,36,false,1241482721,2023-04-13T19:59:15Z,"","파스텔뮤직",0.729,0.398,7,-8.327,1,0.0285,0.341,0.0012,0.241,0.372,115.939,4
spotify:track:1xfu5RELA5t2E2KeOG2ePD,"How Do You Think","Q","CHEEZE",2016-06-16,205693,0,false,1241482721,2023-04-13T19:59:42Z,"k-ballad,k-pop","Magic Strawberry Sound",0.877,0.516,6,-6.045,1,0.0341,0.491,0,0.0908,0.884,100.965,4
spotify:track:1WT5I6vlWjYW2cnhR1UkVA,"Shut Up & Groove","And July","Heize;DEAN",2016-07-18,199281,44,false,1241482721,2023-04-13T19:59:52Z,"k-ballad,k-pop,k-rap","Genie Music Corporation",0.655,0.665,7,-4.785,1,0.036,0.0859,0,0.122,0.531,112.831,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,85,true,1241482721,2023-04-13T20:00:28Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:3FtYbEfBqAlGO46NUDQSAt,"Electric Feel","Oracular Spectacular","MGMT",2007-12-14,229640,79,false,1241482721,2023-04-13T23:23:27Z,"indie","Red Ink/Columbia",0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
spotify:track:3PfIrDoz19wz7qK7tYeu62,"Don't Start Now","Future Nostalgia","Dua Lipa",2020-03-27,183290,82,false,1241482721,2023-04-13T20:04:26Z,"pop","Warner Records",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,89,false,1241482721,2023-04-13T20:04:36Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
